chamber,date,time,evaporation,T_0.5,RH_0.5,CO2_0.5,NH3_0.5,T_1.5,RH_1.5,CO2_1.5,NH3_1.5
3,2023-08-08,06:35:00,68.92,24.44,26.47,1005.07,11.72,25.34,22.75,811.76,4.68
3,2023-08-08,06:40:00,65.83,24.4,25.68,1019.1,11.25,25.34,22.78,797.86,4.38
3,2023-08-08,06:45:00,63.44,25.41,25.39,1032.96,10.74,25.36,24.11,784.94,4.27
3,2023-08-08,06:50:00,61.26,26.47,24.55,1035.8,10.48,25.32,25.31,801.48,4.48
3,2023-08-08,06:55:00,57.82,26.08,25.28,1041.37,10.12,25.29,26.16,804.29,4.81
3,2023-08-08,07:00:00,54.73,25.02,25.95,1054.93,10.63,25.22,27.4,812.18,5.16
3,2023-08-08,07:05:00,52.14,24.4,26.45,1074.52,10.8,25.19,27.89,791.82,5.74
3,2023-08-08,07:10:00,48.47,24.83,25.71,1075.5,11,25.18,28.62,783.51,6.14
3,2023-08-08,07:15:00,45.7,25.66,25.12,1071.64,11.25,25.17,28.64,773.61,5.53
3,2023-08-08,07:20:00,44.41,26.42,24.47,1054.9,11.29,25.1,29.52,768.93,5.31
3,2023-08-08,07:25:00,46.71,26.53,24.01,1044.54,11.78,25.01,29.9,751.97,4.66
3,2023-08-08,07:30:00,50.05,26.9,23.06,1039.98,11.81,24.96,28.77,744.66,4.24
3,2023-08-08,07:35:00,48.38,26.16,22.7,1028.09,12.24,25,28.79,742.86,4.21
3,2023-08-08,07:40:00,45.96,25.22,22.46,1008.5,12.33,25.02,29.9,726.12,4.4
3,2023-08-08,07:45:00,45.38,24.4,22.1,1004,12.45,25.05,29.45,725.8,5.01
3,2023-08-08,07:50:00,42.43,25.24,22.56,995.45,12.38,25.14,29.05,721.81,5.42
3,2023-08-08,07:55:00,40.32,25.56,23.08,975.27,12.24,25.18,28.01,718.14,5.55
3,2023-08-08,08:00:00,39.72,26.71,23.5,964.21,11.88,25.2,27.97,708.49,6.05
3,2023-08-08,08:05:00,39.65,26.9,24.46,946.29,11.65,25.24,27.4,692.72,6.09
3,2023-08-08,08:10:00,36.52,25.92,24.77,944.87,11.24,25.32,26.02,692.27,6.14
3,2023-08-08,08:15:00,39.35,25.11,25.41,934.89,10.73,25.39,25.84,674.3,5.88
3,2023-08-08,08:20:00,41.93,24.4,26.22,923.77,10.62,25.45,25.14,663.47,5.7
3,2023-08-08,08:25:00,45.24,24.5,26.44,919.56,10.16,25.54,23.8,654.17,5.08
3,2023-08-08,08:30:00,45.51,24.93,26.89,932.69,10.12,25.64,23.49,663.38,4.7
3,2023-08-08,08:35:00,48.18,26,27.09,949.26,10.38,25.66,23.19,680,4.21
3,2023-08-08,08:40:00,49.16,26.52,27.86,948.99,10.92,25.66,22.52,698.17,4.53
3,2023-08-08,08:45:00,49.97,26.32,27.89,968.5,11.26,25.67,21.26,711.17,4.98
3,2023-08-08,08:50:00,50.11,25.31,28.15,979.75,11.34,25.75,21.21,717.2,5.59
3,2023-08-08,08:55:00,53.26,24.45,28.98,992.53,11.44,25.66,21.13,724.44,5.66
3,2023-08-08,09:00:00,50.32,24.4,29.68,1001.32,11.72,25.6,20.13,709.95,6
3,2023-08-08,09:05:00,48.81,25.22,30,1011.66,11.99,25.52,18.81,690.86,6.14
3,2023-08-08,09:10:00,47.06,26.04,30.13,1018.5,12.45,25.45,18.81,673.65,5.46
3,2023-08-08,09:15:00,45.19,26.75,31.06,1027.95,12.18,25.42,19.76,659.75,5.13
3,2023-08-08,09:20:00,44.5,26.9,31.23,1030.35,11.8,25.34,20.3,641.41,4.78
3,2023-08-08,09:25:00,43.93,26.27,32.07,1033.73,11.63,25.25,21.04,637.86,4.28
3,2023-08-08,09:30:00,43.18,25.76,32.49,1043.8,11.62,25.34,20.91,621.48,4.21
3,2023-08-08,09:35:00,41.1,25.86,31.45,1056.92,11.61,25.42,19.92,609.75,4.73
3,2023-08-08,09:40:00,38.32,26.46,31.19,1061.49,11.46,25.45,19.81,605.22,4.89
3,2023-08-08,09:45:00,37.06,26.9,30.79,1075.5,11.31,25.51,19.75,587.19,5.22
3,2023-08-08,09:50:00,36.48,25.82,30.54,1065.65,11.21,25.57,19.25,583.4,5.62
3,2023-08-08,09:55:00,35.13,24.85,30.22,1046.32,11.08,25.57,18.78,600.9,6.11
3,2023-08-08,10:00:00,34.15,24.48,30.2,1044.79,10.59,25.64,17.9,607.22,6.14
3,2023-08-08,10:05:00,36.14,24.4,29.85,1030.69,10.26,25.72,16.59,617.36,5.91
3,2023-08-08,10:10:00,36.93,25.05,29.21,1028.15,10.25,25.77,15.4,625.84,5.78
3,2023-08-08,10:15:00,37.41,24.4,28.84,1026.31,10.12,25.81,14.76,635.1,5.23
3,2023-08-08,10:20:00,38.75,24.63,28.51,1021,10.3,25.85,15.92,651.16,4.96
3,2023-08-08,10:25:00,39.64,24.95,28.32,1012.49,10.73,25.94,16.38,653.28,5.03
3,2023-08-08,10:30:00,42.53,26,27.9,997.14,11.1,26.04,16.44,664.09,5.51
3,2023-08-08,10:35:00,43.52,25.48,27.49,996.96,11.34,26.13,16.96,658.84,5.67
3,2023-08-08,10:40:00,43.71,25.06,27.14,992.01,11.34,26.2,18.12,639.34,6.14
3,2023-08-08,10:45:00,47.36,24.61,26.37,987.87,11.77,26.23,19.46,624.8,6.02
3,2023-08-08,10:50:00,50.41,24.4,25.43,978.1,11.84,26.27,19.6,613.2,5.76
3,2023-08-08,10:55:00,51.48,25.57,25.57,964.95,12.05,26.32,20.6,604.44,5.42
3,2023-08-08,11:00:00,53.38,25.66,26.01,963.68,11.59,26.36,20.65,593.5,5.23
3,2023-08-08,11:05:00,56.94,25.93,26.53,947.66,11.43,26.37,21.1,587.78,4.6
3,2023-08-08,11:10:00,57.1,26.9,27.13,932.87,10.93,26.39,21.76,569.82,4.21
3,2023-08-08,11:15:00,58.53,26.2,27.52,932.31,10.69,26.44,22.04,550.56,4.63
3,2023-08-08,11:20:00,62.16,25.89,28.63,930.84,10.35,26.45,23.06,545.4,4.66
3,2023-08-08,11:25:00,62.19,25.22,29.51,930.54,10.12,26.45,23.1,566,4.74
3,2023-08-08,11:30:00,59.98,25.66,30.19,916.45,10.54,26.47,23.77,574.52,4.92
3,2023-08-08,11:35:00,58.06,26.68,30.67,901.05,10.42,26.55,24.3,589.3,5.01
3,2023-08-08,11:40:00,54.71,26.9,31.2,900.67,10.25,26.59,25.25,590.06,5.47
3,2023-08-08,11:45:00,54.42,26.02,30.09,900.65,10.12,26.65,25.34,599.72,5.77
3,2023-08-08,11:50:00,53.89,26.02,30.65,881.21,10.63,26.65,26.03,586.92,6.07
3,2023-08-08,11:55:00,52.62,24.85,31.53,860.95,11.1,26.71,27.38,569.64,6.14
3,2023-08-08,12:00:00,51.05,24.4,31.86,840.76,11.41,26.72,27.59,567.83,5.8
3,2023-08-08,12:05:00,49.89,24.62,31.98,836.83,11.55,26.76,28.03,547.09,5.29
3,2023-08-08,12:10:00,47.29,25.44,32.9,817.3,12.04,26.85,28.91,545.4,4.65
3,2023-08-08,12:15:00,45.14,25.59,33.18,804.44,12.42,26.9,29.42,549.3,4.39
3,2023-08-08,12:20:00,41.97,25.75,33.58,799.44,12.42,26.95,29.9,566.63,4.21
3,2023-08-08,12:25:00,40.69,26.24,33.27,788.57,12.45,26.99,29.64,580.47,4.26
3,2023-08-08,12:30:00,39.46,26.58,33.19,774.34,12.01,27.03,29.41,580.68,4.6
3,2023-08-08,12:35:00,38.27,26.74,33.05,764.33,11.95,27.09,29.9,559.84,4.71
3,2023-08-08,12:40:00,37.26,26.9,32.69,761.1,11.74,27.18,29.46,557.17,4.95
3,2023-08-08,12:45:00,38.65,26.24,32.63,751.28,11.5,27.19,29.07,545.4,5.37
3,2023-08-08,12:50:00,41.78,25.26,31.86,742.31,11.25,27.22,29.89,555.11,5.81
3,2023-08-08,12:55:00,45.16,25.06,31.21,740,11.2,27.29,29.9,570.48,6.14
3,2023-08-08,13:00:00,46.42,24.4,30.83,723.73,11.68,27.3,29.07,586.75,6.02
3,2023-08-08,13:05:00,43.52,25.06,30.79,718.54,12.01,27.31,28.06,601.88,5.46
3,2023-08-08,13:10:00,44.29,25.62,29.73,732.81,12.15,27.36,26.87,617.7,5.25
3,2023-08-08,13:15:00,45.77,25.91,28.91,735.97,12.45,27.4,26.4,633.86,4.79
3,2023-08-08,13:20:00,47.57,25.97,28.58,739.15,12.13,27.33,26.18,645.48,4.47
3,2023-08-08,13:25:00,48.69,26.9,27.61,755.7,11.6,27.24,25.82,663.43,4.21
3,2023-08-08,13:30:00,50.24,26.41,27.21,768.81,11.28,27.19,25.25,677.47,4.81
3,2023-08-08,13:35:00,52.35,25.26,26.39,776.65,10.84,27.12,24.19,684.17,5.23
3,2023-08-08,13:40:00,55.64,24.4,26.01,795.52,10.39,27.08,23.76,689.72,5.89
3,2023-08-08,13:45:00,57.39,25,25.71,805.45,10.29,27.01,23.39,698.4,6.14
3,2023-08-08,13:50:00,55.05,25.12,26.84,818.04,10.27,27.03,22.06,698.65,5.85
3,2023-08-08,13:55:00,53.56,25.8,27.56,821.55,10.12,27.08,20.78,680.76,5.45
3,2023-08-08,14:00:00,52.17,26.16,27.78,824.17,10.39,27.12,20.72,663.45,4.79
3,2023-08-08,14:05:00,54.08,26.9,28.85,806.7,10.12,27.19,19.83,660.07,4.55
3,2023-08-08,14:10:00,56.56,26.87,29.71,802.46,10.61,27.22,19.02,652,4.21
3,2023-08-08,14:15:00,60.11,26.04,30.68,801.7,10.66,27.15,18.13,631.41,4.77
3,2023-08-08,14:20:00,61.79,25.6,31.11,783.2,10.4,27.19,17.12,628.44,5.44
3,2023-08-08,14:25:00,63.72,25.41,32.05,777.28,10.12,27.29,17.17,615.22,5.86
3,2023-08-08,14:30:00,64.45,26.33,32.09,762.99,10.45,27.34,18.53,612.74,5.92
3,2023-08-08,14:35:00,67.67,26.53,32.49,762.88,10.91,27.39,19.11,600.5,6.14
3,2023-08-08,14:40:00,70.69,26.36,32.97,755.41,10.98,27.4,19.81,598.12,6.04
3,2023-08-08,14:45:00,71.02,25.55,33.84,739.35,11.29,27.37,20.84,602.68,5.36
3,2023-08-08,14:50:00,71,24.83,34.25,742.55,11.39,27.29,21.99,620.34,5.19
3,2023-08-08,14:55:00,70.23,24.49,34.42,734.91,11.81,27.28,21.51,634.69,4.52
3,2023-08-08,15:00:00,71.57,24.4,35.42,729.15,12.28,27.25,20.15,643.14,4.21
3,2023-08-08,15:05:00,73.88,25.51,35.88,744.6,11.93,27.18,19.11,632.11,4.32
3,2023-08-08,15:10:00,73.85,26.46,36.06,734.14,11.57,27.11,19.36,618.51,4.72
3,2023-08-08,15:15:00,70.63,26.9,37.18,733.35,11.47,27.04,20.04,607.76,4.83
3,2023-08-08,15:20:00,67.46,25.88,38.26,732.33,11.21,27.02,21.13,598.28,5.29
3,2023-08-08,15:25:00,67.38,24.77,38.3,717.12,10.72,26.98,21.67,588,5.82
3,2023-08-08,15:30:00,66.31,24.4,38.59,714.52,10.27,26.98,22.07,604.86,5.25
3,2023-08-08,15:35:00,65.96,25.31,38.66,708.96,10.12,26.98,22.8,607.01,5.07
3,2023-08-08,15:40:00,65.32,25.49,39.53,700.06,10.42,26.91,23.14,624.68,4.84
3,2023-08-08,15:45:00,61.72,25.66,40.4,689.47,10.68,26.89,24.14,627.16,4.21
3,2023-08-08,15:50:00,60.19,26.33,41.14,680.41,10.7,26.8,25.26,642.27,4.62
3,2023-08-08,15:55:00,58.19,26.67,41.17,663.93,10.74,26.76,25.96,661.07,5.02
3,2023-08-08,16:00:00,56.21,26.87,41.55,653.16,11.14,26.7,26.75,677.03,5.27
3,2023-08-08,16:05:00,54.35,26.9,41.7,642.47,11.16,26.62,27.86,692.39,5.62
3,2023-08-08,16:10:00,54.33,26.15,40.74,639.36,11.63,26.57,28.68,696.39,5.79
3,2023-08-08,16:15:00,53.14,25.52,40.36,623.45,11.74,26.48,29.14,716.61,5.93
3,2023-08-08,16:20:00,51.97,24.4,39.49,619.96,12.02,26.42,27.96,726.03,6.11
3,2023-08-08,16:25:00,51.66,25.03,39.67,609,12.04,26.32,27.85,726.07,6.14
3,2023-08-08,16:30:00,48.29,25.73,40.37,600.18,12.35,26.32,26.74,741.85,6.04
3,2023-08-08,16:35:00,47.37,26.1,39.5,587.93,12.45,26.32,26.07,758.19,5.9
3,2023-08-08,16:40:00,44.99,26.79,39.01,584.64,12.24,26.23,25.8,774.1,5.78
3,2023-08-08,16:45:00,44.45,26.9,38.32,580.49,12.02,26.19,25.57,784.39,5.3
3,2023-08-08,16:50:00,41,25.8,37.65,579.05,11.86,26.12,24.44,796.05,5.54
3,2023-08-08,16:55:00,38.34,24.96,37.02,572.12,11.33,26.06,23.69,803.31,6.12
3,2023-08-08,17:00:00,35.42,24.4,36.51,552.65,11.19,26.05,23.1,802.03,6.14
3,2023-08-08,17:05:00,33.22,25.18,35.73,548.87,11.03,25.95,22.51,786.8,5.54
3,2023-08-08,17:10:00,30.34,25.51,34.64,541.4,11,25.87,21.45,773.67,4.86
3,2023-08-08,17:15:00,28.59,26.51,33.77,549.47,10.97,25.8,20.45,762.81,4.71
3,2023-08-08,17:20:00,27.1,26.71,32.8,552.41,10.75,25.77,19.9,743.86,4.21
3,2023-08-08,17:25:00,24.38,26.9,32.4,555.09,10.56,25.7,18.8,743.49,4.84
3,2023-08-08,17:30:00,21.68,25.81,32.27,568.92,10.48,25.65,18.16,727.99,5.21
3,2023-08-08,17:35:00,18.81,25.22,31.25,566.25,10.12,25.64,17.45,708.45,5.58
3,2023-08-08,17:40:00,17.08,24.46,31.17,556.77,10.2,25.63,16.65,708.17,6.14
3,2023-08-08,17:45:00,15.11,24.4,30.81,541.58,10.28,25.58,15.63,698.2,5.58
3,2023-08-08,17:50:00,17.63,24.76,30.24,541.4,10.59,25.57,14.55,688.45,5.21
3,2023-08-08,17:55:00,19.58,25.95,29.72,553.76,10.74,25.52,14.09,672.61,4.98
3,2023-08-08,18:00:00,22.14,26.4,29.21,561.88,11.17,25.52,13.46,671.58,5.19
3,2023-08-08,18:05:00,25.26,25.22,28.63,580.17,11.39,25.51,13.43,664.34,5.51
3,2023-08-08,18:10:00,28.59,25.08,28.08,580.92,11.53,25.5,12.32,651.24,5.12
3,2023-08-08,18:15:00,28.83,24.4,27.36,583.99,12.05,25.53,11.51,638.39,5.45
3,2023-08-08,18:20:00,30.84,24.47,27.29,604.24,12.45,25.63,11.91,631.84,5.87
3,2023-08-08,18:25:00,34.38,24.97,26.74,611.23,12.38,25.72,12.71,624.87,6.14
3,2023-08-08,18:30:00,35.58,25.4,26.26,622.51,12.07,25.62,13.01,621.98,5.62
3,2023-08-08,18:35:00,34.03,26.16,25.91,626.73,11.71,25.61,14.06,605.11,6.14
3,2023-08-08,18:40:00,31.18,26.9,24.79,630.43,11.35,25.57,14.94,595.65,5.58
3,2023-08-08,18:45:00,30.62,26.53,24.01,646.05,10.97,25.55,15.51,579.31,5.31
3,2023-08-08,18:50:00,27.36,25.61,24.55,661.09,10.72,25.51,15.53,561.27,4.94
3,2023-08-08,18:55:00,26.61,24.6,24.6,652.16,10.9,25.46,16.86,552.27,4.82
3,2023-08-08,19:00:00,25.52,24.4,25.18,650.06,11.03,25.43,16.28,552.18,4.21
3,2023-08-08,19:05:00,24.75,24.64,24.71,634.83,11.29,25.39,16.16,549.41,4.86
3,2023-08-08,19:10:00,22.96,25.83,23.83,631.44,11.5,25.37,15.4,546.75,5.08
3,2023-08-08,19:15:00,21.5,26.5,22.91,623.17,12.03,25.35,14.97,546.5,5.49
3,2023-08-08,19:20:00,19.1,26.81,22.1,626.15,12.42,25.26,14.59,555.51,5.62
3,2023-08-08,19:25:00,18.61,26.86,22.59,632.01,12.45,25.17,13.49,561.76,5.98
3,2023-08-08,19:30:00,15.37,26.9,22.1,641.71,12.23,25.17,13.08,575.93,5.83
3,2023-08-08,19:35:00,15.11,25.84,23.13,644.99,11.98,25.11,12.6,596.88,5.72
3,2023-08-08,19:40:00,16.65,25.76,22.1,653.86,11.54,25.03,11.43,602.66,5.68
3,2023-08-08,19:45:00,18.94,25.28,23.06,657.73,11.54,24.94,10.76,611.59,5.28
3,2023-08-08,19:50:00,22.13,25.97,23.46,660.92,11.3,24.92,10.06,614.78,4.89
3,2023-08-08,19:55:00,19.05,26.9,24.56,668.08,11.27,24.95,10,619.12,4.53
3,2023-08-08,20:00:00,15.95,26.59,24.04,682.74,11.04,25.02,9.4,629.8,4.3
3,2023-08-08,20:05:00,15.11,26.47,23.34,685.78,10.56,25.08,9.6,621.74,4.21
3,2023-08-08,20:10:00,18.09,25.92,22.46,703.03,10.36,25.15,10.39,611.77,4.66
3,2023-08-08,20:15:00,19.77,25.13,22.1,711.74,10.83,25.23,10.59,592.93,5.17
3,2023-08-08,20:20:00,21.55,24.63,22.19,717.23,11.12,25.32,10.95,576.04,5.3
3,2023-08-08,20:25:00,23.73,24.4,22.82,732.24,11.66,25.37,11.98,567.41,5.67
3,2023-08-08,20:30:00,24.39,25.42,23.48,739.79,11.8,25.4,13.05,561.09,6.14
3,2023-08-08,20:35:00,23.28,26.14,24.4,744.44,12.23,25.45,13.51,564.88,6.05
3,2023-08-08,20:40:00,22.55,26.86,24.51,764.64,12.34,25.5,13.86,578.95,5.63
3,2023-08-08,20:45:00,18.94,26.9,24.73,774.86,12.45,25.59,13.98,584.25,5.36
3,2023-08-08,20:50:00,16.6,26.35,25.5,785.38,12.42,25.61,14.75,597.57,4.94
3,2023-08-08,20:55:00,15.11,25.31,26.59,796.27,12,25.67,13.92,614.66,4.87
3,2023-08-08,21:00:00,18.79,24.4,27.31,798.57,11.57,25.77,12.86,633.2,4.78
3,2023-08-08,21:05:00,21.2,24.59,26.93,802.9,11.72,25.84,11.89,651.8,4.7
3,2023-08-08,21:10:00,18.4,25.8,26.93,820.25,11.96,25.93,11.77,656.38,5.14
3,2023-08-08,21:15:00,19.78,26.3,26.24,828.86,12.26,25.97,10.42,668.47,5.33
3,2023-08-08,21:20:00,21.14,26.9,26.01,843.23,12.45,26.06,9.6,686.97,5.94
3,2023-08-08,21:25:00,23.18,25.95,25.01,845.44,12.06,26.09,10.66,690.15,6.05
3,2023-08-08,21:30:00,22.04,25.49,24.19,848.59,11.57,26.13,10.9,708.09,6.14
3,2023-08-08,21:35:00,18.49,25.07,24.69,863.47,11.11,26.13,11.08,706.95,5.5
3,2023-08-08,21:40:00,15.85,24.69,25.31,856.23,10.76,26.19,11.84,706.94,5.23
3,2023-08-08,21:45:00,15.34,24.4,25.82,838.99,10.3,26.2,12.09,689.87,5.11
3,2023-08-08,21:50:00,15.11,24.58,26.56,819.71,10.12,26.29,13.03,681.28,4.61
3,2023-08-08,21:55:00,16.04,25.05,26.84,830.82,10.6,26.3,13.05,675.94,4.61
3,2023-08-08,22:00:00,18.24,25.71,27.65,836.88,10.48,26.33,14.37,657.38,4.69
3,2023-08-08,22:05:00,19.1,26.54,27.73,842.46,10.12,26.41,15.24,645.4,5.37
3,2023-08-08,22:10:00,22.56,26.9,28.47,847.57,10.36,26.5,15.24,631.17,5.62
3,2023-08-08,22:15:00,26.17,26.33,29.23,860.97,10.37,26.53,15.8,620.92,5.08
3,2023-08-08,22:20:00,28.62,25.64,29.64,873.3,10.54,26.57,15.28,611.1,5.53
3,2023-08-08,22:25:00,28.95,24.81,30.16,876.96,10.71,26.63,14.87,601.67,5.78
3,2023-08-08,22:30:00,26.09,25.65,30.33,889.83,11.08,26.69,14.24,587.65,6.14
